"originalNames","standardNames","filename","sheetname","skippedRows","releasedate","comments"
"Report Date","date of report","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Sex","sex","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Age group","age group","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"DHB","dhb","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Overseas","international travel","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Last City before NZ","last city before return","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Flight No","flight number","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Departure date","flight departure date","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Arrival date","arrival date","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"caseType","casetype","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"datasource","datasource","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"releaseDate","releasedate","data/moh/caselists/raw/covid-19-confirmed-cases-28mar20.xlsx","COVID19 MoH media",3,2020-03-28,NA
"Report Date","date of report","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Sex","sex","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Age group","age group","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"DHB","dhb","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Overseas","international travel","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Last City before NZ","last city before return","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Flight No","flight number","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Departure date","flight departure date","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"Arrival date","arrival date","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"caseType","casetype","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"datasource","datasource","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
"releaseDate","releasedate","data/moh/caselists/raw/covid-19-probable-cases-28mar20.xlsx","Sheet1",3,2020-03-28,NA
NA,"last country before return",NA,NA,NA,NA,"Manually added"
