"originalNames","standardNames","filename","sheetname","skippedRows"
"Date of report","date of report","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Sex","sex","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Age group","age group","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"DHB","dhb","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"International travel","international travel","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Last country before return","last country before return","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Flight number","flight number","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Arrival date","arrival date","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"caseType","casetype","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"datasource","datasource","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"releaseDate","releasedate","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Confirmed",0
"Date of report","date of report","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Sex","sex","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Age group","age group","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"DHB","dhb","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"International travel","international travel","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Last country before return","last country before return","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Flight number","flight number","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"Arrival date","arrival date","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"caseType","casetype","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"datasource","datasource","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
"releaseDate","releasedate","data/moh/caselists/raw/covid-19-confirmed-probable-cases-29mar20.xlsx","Probable",0
