"originalNames","standardNames","filename","sheetname","skippedRows","releasedate"
"Date notified of potential case","date of report","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Sex","sex","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Age group","age group","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"DHB","dhb","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Flight number","flight number","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"caseType","casetype","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"datasource","datasource","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-7may20.xlsx","Confirmed",3,"2020-05-07"
"Date notified of potential case","date of report","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Sex","sex","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Age group","age group","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"DHB","dhb","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Overseas travel","international travel","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Last country before return","last country before return","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Flight number","flight number","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Flight departure date","flight departure date","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"Arrival date","arrival date","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"caseType","casetype","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"datasource","datasource","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
"releaseDate","releasedate","data/moh/caselists/raw/covid-cases-7may20.xlsx","Probable",3,"2020-05-07"
